Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,,
1,05/02/2010,42.31,2.57,211.10,8.106,0,,
1,12/02/2010,38.51,2.55,211.24,8.106,1,,
1,19/02/2010,39.93,2.51,211.29,8.106,0,,
1,26/02/2010,46.63,2.56,211.32,8.106,0,,
1,05/03/2010,46.50,2.63,211.35,8.106,0,,
1,12/03/2010,57.79,2.67,211.38,8.106,0,,
1,19/03/2010,54.58,2.72,211.22,8.106,0,,
1,26/03/2010,51.45,2.73,211.02,8.106,0,,
1,02/04/2010,62.27,2.72,210.82,7.808,0,,
1,09/04/2010,65.86,2.77,210.62,7.808,0,,
1,16/04/2010,66.32,2.81,210.49,7.808,0,,
1,23/04/2010,64.84,2.80,210.44,7.808,0,,
1,30/04/2010,67.41,2.78,210.39,7.808,0,,
1,07/05/2010,72.55,2.84,210.34,7.808,0,,
1,14/05/2010,74.78,2.85,210.34,7.808,0,,
1,21/05/2010,76.44,2.83,210.62,7.808,0,,
1,28/05/2010,80.44,2.76,210.90,7.808,0,,
1,04/06/2010,80.69,2.71,211.18,7.808,0,,
1,11/06/2010,80.43,2.67,211.46,7.808,0,,
1,18/06/2010,84.11,2.64,211.45,7.808,0,,
1,25/06/2010,84.34,2.65,211.34,7.808,0,,
1,02/07/2010,80.91,2.67,211.22,7.787,0,,
1,09/07/2010,80.48,2.64,211.11,7.787,0,,
1,16/07/2010,83.15,2.62,211.10,7.787,0,,
1,23/07/2010,83.36,2.61,211.24,7.787,0,,
1,30/07/2010,81.84,2.64,211.37,7.787,0,,
1,06/08/2010,87.16,2.63,211.50,7.787,0,,
1,13/08/2010,87.00,2.69,211.64,7.787,0,,
1,20/08/2010,86.65,2.66,211.60,7.787,0,,
1,27/08/2010,85.22,2.62,211.57,7.787,0,,
1,03/09/2010,81.21,2.58,211.53,7.787,0,,
1,10/09/2010,78.69,2.57,211.50,7.787,1,,
1,17/09/2010,82.11,2.58,211.52,7.787,0,,
1,24/09/2010,80.94,2.62,211.60,7.787,0,,
1,01/10/2010,71.89,2.60,211.67,7.838,0,,
1,08/10/2010,63.93,2.63,211.75,7.838,0,,
1,15/10/2010,67.18,2.72,211.81,7.838,0,,
1,22/10/2010,69.86,2.73,211.86,7.838,0,,
1,29/10/2010,69.64,2.72,211.91,7.838,0,,
1,05/11/2010,58.74,2.69,211.96,7.838,0,,
1,12/11/2010,59.61,2.73,212.00,7.838,0,,
1,19/11/2010,51.41,2.77,211.89,7.838,0,,
1,26/11/2010,64.52,2.74,211.75,7.838,1,,
1,03/12/2010,49.27,2.71,211.61,7.838,0,,
1,10/12/2010,46.33,2.84,211.47,7.838,0,,
1,17/12/2010,49.84,2.87,211.41,7.838,0,,
1,24/12/2010,52.33,2.89,211.41,7.838,0,,
1,31/12/2010,48.43,2.94,211.40,7.838,1,,
1,07/01/2011,48.27,2.98,211.40,7.742,0,,
1,14/01/2011,35.40,2.98,211.46,7.742,0,,
1,21/01/2011,44.04,3.02,211.83,7.742,0,,
1,28/01/2011,43.83,3.01,212.20,7.742,0,,
1,04/02/2011,42.27,2.99,212.57,7.742,0,,
1,11/02/2011,36.39,3.02,212.94,7.742,1,,
1,18/02/2011,57.36,3.05,213.25,7.742,0,,
1,25/02/2011,62.90,3.07,213.54,7.742,0,,
1,04/03/2011,59.58,3.29,213.82,7.742,0,,
1,11/03/2011,53.56,3.46,214.11,7.742,0,,
1,18/03/2011,62.76,3.49,214.36,7.742,0,,
1,25/03/2011,69.97,3.47,214.60,7.742,0,,
1,01/04/2011,59.17,3.52,214.84,7.682,0,,
1,08/04/2011,67.84,3.62,215.07,7.682,0,,
1,15/04/2011,71.27,3.74,215.29,7.682,0,,
1,22/04/2011,72.99,3.81,215.46,7.682,0,,
1,29/04/2011,72.03,3.81,215.63,7.682,0,,
1,06/05/2011,64.61,3.91,215.80,7.682,0,,
1,13/05/2011,75.64,3.90,215.96,7.682,0,,
1,20/05/2011,67.63,3.91,215.73,7.682,0,,
1,27/05/2011,77.72,3.79,215.50,7.682,0,,
1,03/06/2011,83.00,3.70,215.27,7.682,0,,
1,10/06/2011,83.13,3.65,215.04,7.682,0,,
1,17/06/2011,86.41,3.64,215.00,7.682,0,,
1,24/06/2011,83.58,3.59,215.09,7.682,0,,
1,01/07/2011,85.55,3.52,215.18,7.962,0,,
1,08/07/2011,85.83,3.48,215.28,7.962,0,,
1,15/07/2011,88.54,3.58,215.36,7.962,0,,
1,22/07/2011,85.77,3.65,215.42,7.962,0,,
1,29/07/2011,86.83,3.68,215.48,7.962,0,,
1,05/08/2011,91.65,3.68,215.54,7.962,0,,
1,12/08/2011,90.76,3.64,215.61,7.962,0,,
1,19/08/2011,89.94,3.55,215.67,7.962,0,,
1,26/08/2011,87.96,3.52,215.73,7.962,0,,
1,02/09/2011,87.83,3.53,215.80,7.962,0,,
1,09/09/2011,76.00,3.55,215.86,7.962,1,,
1,16/09/2011,79.94,3.53,216.04,7.962,0,,
1,23/09/2011,75.80,3.47,216.38,7.962,0,,
1,30/09/2011,79.69,3.36,216.71,7.962,0,,
1,07/10/2011,69.31,3.29,217.05,7.866,0,,
1,14/10/2011,71.74,3.27,217.36,7.866,0,,
1,21/10/2011,63.71,3.35,217.52,7.866,0,,
1,28/10/2011,66.57,3.37,217.68,7.866,0,,
1,04/11/2011,54.98,3.33,217.84,7.866,0,,
1,11/11/2011,59.11,3.30,218.00,7.866,0,,
1,18/11/2011,62.25,3.31,218.22,7.866,0,,
1,25/11/2011,60.14,3.24,218.47,7.866,1,,
1,02/12/2011,48.91,3.17,218.71,7.866,0,,
1,09/12/2011,43.93,3.16,218.96,7.866,0,,
1,16/12/2011,51.63,3.16,219.18,7.866,0,,
1,23/12/2011,47.96,3.11,219.36,7.866,0,,
1,30/12/2011,44.55,3.13,219.54,7.866,1,,
1,06/01/2012,49.01,3.16,219.71,7.348,0,,
1,13/01/2012,48.53,3.26,219.89,7.348,0,,
1,20/01/2012,54.11,3.27,219.99,7.348,0,,
1,27/01/2012,54.26,3.29,220.08,7.348,0,,
1,03/02/2012,56.55,3.36,220.17,7.348,0,,
1,10/02/2012,48.02,3.41,220.27,7.348,1,,
1,17/02/2012,45.32,3.51,220.43,7.348,0,,
1,24/02/2012,57.25,3.56,220.64,7.348,0,,
1,02/03/2012,60.96,3.63,220.85,7.348,0,,
1,09/03/2012,58.76,3.67,221.06,7.348,0,,
1,16/03/2012,64.74,3.73,221.21,7.348,0,,
1,23/03/2012,65.93,3.79,221.29,7.348,0,,
1,30/03/2012,67.61,3.85,221.36,7.348,0,,
1,06/04/2012,70.43,3.89,221.44,7.143,0,,
1,13/04/2012,69.07,3.89,221.51,7.143,0,,
1,20/04/2012,66.76,3.88,221.56,7.143,0,,
1,27/04/2012,67.23,3.81,221.62,7.143,0,,
1,04/05/2012,75.55,3.75,221.67,7.143,0,,
1,11/05/2012,73.77,3.69,221.73,7.143,0,,
1,18/05/2012,70.33,3.63,221.74,7.143,0,,
1,25/05/2012,77.22,3.56,221.74,7.143,0,,
1,01/06/2012,77.95,3.50,221.75,7.143,0,,
1,08/06/2012,78.30,3.45,221.75,7.143,0,,
1,15/06/2012,79.35,3.39,221.76,7.143,0,,
1,22/06/2012,78.39,3.35,221.80,7.143,0,,
1,29/06/2012,84.88,3.29,221.84,7.143,0,,
1,06/07/2012,81.57,3.23,221.88,6.908,0,,
1,13/07/2012,77.12,3.26,221.92,6.908,0,,
1,20/07/2012,80.42,3.31,221.93,6.908,0,,
1,27/07/2012,82.66,3.41,221.94,6.908,0,,
1,03/08/2012,86.11,3.42,221.95,6.908,0,,
1,10/08/2012,85.05,3.49,221.96,6.908,0,,
1,17/08/2012,84.85,3.57,222.04,6.908,0,,
1,24/08/2012,77.66,3.62,222.17,6.908,0,,
1,31/08/2012,80.49,3.64,222.31,6.908,0,,
