Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
1,40214,42.31,2.572,211.0963582,8.106,0
1,40221,38.51,2.548,211.2421698,8.106,1
1,40228,39.93,2.514,211.2891429,8.106,0
1,40235,46.63,2.561,211.3196429,8.106,0
1,40242,46.5,2.625,211.3501429,8.106,0
1,40249,57.79,2.667,211.3806429,8.106,0
1,40256,54.58,2.72,211.215635,8.106,0
1,40263,51.45,2.732,211.0180424,8.106,0
1,40270,62.27,2.719,210.8204499,7.808,0
1,40277,65.86,2.77,210.6228574,7.808,0
1,40284,66.32,2.808,210.4887,7.808,0
1,40291,64.84,2.795,210.4391228,7.808,0
1,40298,67.41,2.78,210.3895456,7.808,0
1,40305,72.55,2.835,210.3399684,7.808,0
1,40312,74.78,2.854,210.3374261,7.808,0
1,40319,76.44,2.826,210.6170934,7.808,0
1,40326,80.44,2.759,210.8967606,7.808,0
1,40333,80.69,2.705,211.1764278,7.808,0
1,40340,80.43,2.668,211.4560951,7.808,0
1,40347,84.11,2.637,211.4537719,7.808,0
1,40354,84.34,2.653,211.3386526,7.808,0
1,40361,80.91,2.669,211.2235333,7.787,0
1,40368,80.48,2.642,211.108414,7.787,0
1,40375,83.15,2.623,211.1003854,7.787,0
1,40382,83.36,2.608,211.2351443,7.787,0
1,40389,81.84,2.64,211.3699032,7.787,0
1,40396,87.16,2.627,211.5046621,7.787,0
1,40403,87,2.692,211.6394211,7.787,0
1,40410,86.65,2.664,211.6033633,7.787,0
1,40417,85.22,2.619,211.5673056,7.787,0
1,40424,81.21,2.577,211.5312479,7.787,0
1,40431,78.69,2.565,211.4951902,7.787,1
1,40438,82.11,2.582,211.5224596,7.787,0
1,40445,80.94,2.624,211.5972246,7.787,0
1,40452,71.89,2.603,211.6719895,7.838,0
1,40459,63.93,2.633,211.7467544,7.838,0
1,40466,67.18,2.72,211.8137436,7.838,0
1,40473,69.86,2.725,211.8612937,7.838,0
1,40480,69.64,2.716,211.9088438,7.838,0
1,40487,58.74,2.689,211.9563939,7.838,0
1,40494,59.61,2.728,212.003944,7.838,0
1,40501,51.41,2.771,211.8896737,7.838,0
1,40508,64.52,2.735,211.7484333,7.838,1
1,40515,49.27,2.708,211.607193,7.838,0
1,40522,46.33,2.843,211.4659526,7.838,0
1,40529,49.84,2.869,211.4053124,7.838,0
1,40536,52.33,2.886,211.4051222,7.838,0
1,40543,48.43,2.943,211.4049321,7.838,1
1,40550,48.27,2.976,211.4047419,7.742,0
1,40557,35.4,2.983,211.4574109,7.742,0
1,40564,44.04,3.016,211.8272343,7.742,0
1,40571,43.83,3.01,212.1970577,7.742,0
1,40578,42.27,2.989,212.5668812,7.742,0
1,40585,36.39,3.022,212.9367046,7.742,1
1,40592,57.36,3.045,213.2478853,7.742,0
1,40599,62.9,3.065,213.535609,7.742,0
1,40606,59.58,3.288,213.8233327,7.742,0
1,40613,53.56,3.459,214.1110564,7.742,0
1,40620,62.76,3.488,214.3627114,7.742,0
1,40627,69.97,3.473,214.5999389,7.742,0
1,40634,59.17,3.524,214.8371664,7.682,0
1,40641,67.84,3.622,215.0743939,7.682,0
1,40648,71.27,3.743,215.2918561,7.682,0
1,40655,72.99,3.807,215.4599053,7.682,0
1,40662,72.03,3.81,215.6279544,7.682,0
1,40669,64.61,3.906,215.7960035,7.682,0
1,40676,75.64,3.899,215.9640526,7.682,0
1,40683,67.63,3.907,215.7339202,7.682,0
1,40690,77.72,3.786,215.5037878,7.682,0
1,40697,83,3.699,215.2736553,7.682,0
1,40704,83.13,3.648,215.0435229,7.682,0
1,40711,86.41,3.637,214.9980596,7.682,0
1,40718,83.58,3.594,215.0910982,7.682,0
1,40725,85.55,3.524,215.1841368,7.962,0
1,40732,85.83,3.48,215.2771754,7.962,0
1,40739,88.54,3.575,215.3611087,7.962,0
1,40746,85.77,3.651,215.4222784,7.962,0
1,40753,86.83,3.682,215.4834482,7.962,0
1,40760,91.65,3.684,215.544618,7.962,0
1,40767,90.76,3.638,215.6057878,7.962,0
1,40774,89.94,3.554,215.6693107,7.962,0
1,40781,87.96,3.523,215.7332258,7.962,0
1,40788,87.83,3.533,215.7971409,7.962,0
1,40795,76,3.546,215.861056,7.962,1
1,40802,79.94,3.526,216.0410526,7.962,0
1,40809,75.8,3.467,216.3758246,7.962,0
1,40816,79.69,3.355,216.7105965,7.962,0
1,40823,69.31,3.285,217.0453684,7.866,0
1,40830,71.74,3.274,217.3552733,7.866,0
1,40837,63.71,3.353,217.5159762,7.866,0
1,40844,66.57,3.372,217.6766791,7.866,0
1,40851,54.98,3.332,217.837382,7.866,0
1,40858,59.11,3.297,217.9980849,7.866,0
1,40865,62.25,3.308,218.2205088,7.866,0
1,40872,60.14,3.236,218.4676211,7.866,1
1,40879,48.91,3.172,218.7147333,7.866,0
1,40886,43.93,3.158,218.9618456,7.866,0
1,40893,51.63,3.159,219.1794533,7.866,0
1,40900,47.96,3.112,219.3577216,7.866,0
1,40907,44.55,3.129,219.5359898,7.866,1
1,40914,49.01,3.157,219.7142581,7.348,0
1,40921,48.53,3.261,219.8925263,7.348,0
1,40928,54.11,3.268,219.9856893,7.348,0
1,40935,54.26,3.29,220.0788523,7.348,0
1,40942,56.55,3.36,220.1720153,7.348,0
1,40949,48.02,3.409,220.2651783,7.348,1
1,40956,45.32,3.51,220.4257586,7.348,0
1,40963,57.25,3.555,220.636902,7.348,0
1,40970,60.96,3.63,220.8480454,7.348,0
1,40977,58.76,3.669,221.0591887,7.348,0
1,40984,64.74,3.734,221.2118132,7.348,0
1,40991,65.93,3.787,221.2864126,7.348,0
1,40998,67.61,3.845,221.3610119,7.348,0
1,41005,70.43,3.891,221.4356112,7.143,0
1,41012,69.07,3.891,221.5102105,7.143,0
1,41019,66.76,3.877,221.5640737,7.143,0
1,41026,67.23,3.814,221.6179368,7.143,0
1,41033,75.55,3.749,221.6718,7.143,0
1,41040,73.77,3.688,221.7256632,7.143,0
1,41047,70.33,3.63,221.742674,7.143,0
1,41054,77.22,3.561,221.744944,7.143,0
1,41061,77.95,3.501,221.7472139,7.143,0
1,41068,78.3,3.452,221.7494839,7.143,0
1,41075,79.35,3.393,221.7626421,7.143,0
1,41082,78.39,3.346,221.8030211,7.143,0
1,41089,84.88,3.286,221.8434,7.143,0
1,41096,81.57,3.227,221.8837789,6.908,0
1,41103,77.12,3.256,221.9241579,6.908,0
1,41110,80.42,3.311,221.9327267,6.908,0
1,41117,82.66,3.407,221.9412954,6.908,0
1,41124,86.11,3.417,221.9498642,6.908,0
1,41131,85.05,3.494,221.9584329,6.908,0
1,41138,84.85,3.571,222.0384109,6.908,0
1,41145,77.66,3.62,222.1719457,6.908,0
1,41152,80.49,3.638,222.3054805,6.908,0
1,41159,83.96,3.73,222.4390153,6.908,1
1,41166,74.97,3.717,222.5820193,6.908,0
1,41173,69.87,3.721,222.7818386,6.908,0
1,41180,76.08,3.666,222.9816579,6.908,0
1,41187,68.55,3.617,223.1814772,6.573,0
1,41194,62.99,3.601,223.3812965,6.573,0
1,41201,67.97,3.594,223.4257233,6.573,0
1,41208,69.16,3.506,223.4442513,6.573,0
1,41215,55.32,3.386,223.4627793,6.573,0
1,41222,61.24,3.314,223.4813073,6.573,0
1,41229,52.92,3.252,223.5129105,6.573,0
1,41236,56.23,3.211,223.5619474,6.573,1
1,41243,52.34,3.207,223.6109842,6.573,0
1,41250,64.12,3.198,223.6600211,6.573,0
1,41257,48.89,3.168,223.7192767,6.573,0
1,41264,56.02,3.098,223.8398455,6.573,0
1,41271,44.79,3.108,223.9604143,6.573,1
1,41278,41.73,3.161,224.080983,6.525,0
1,41285,50.32,3.243,224.2015518,6.525,0
1,41292,42.92,3.237,224.2358132,6.525,0
1,41299,53.37,3.227,224.2355518,6.525,0
1,41306,56.46,3.244,224.2352903,6.525,0
1,41313,56.67,3.417,224.2350289,6.525,1
1,41320,49.66,3.475,224.2760526,6.525,0
1,41327,50.25,3.597,224.4202895,6.525,0
1,41334,48.01,3.711,224.5645263,6.525,0
1,41341,50.81,3.658,224.7087632,6.525,0
1,41348,55.33,3.622,224.8356808,6.525,0
1,41355,63.42,3.611,224.9193005,6.525,0
1,41362,51,3.606,225.0029202,6.525,0
1,41369,58.59,3.583,225.0865399,6.314,0
1,41376,62.72,3.529,225.1701596,6.314,0
1,41383,67.1,3.451,225.1701596,6.314,0
1,41390,59.23,3.417,225.1701596,6.314,0
1,41397,66.66,3.386,NULL,NULL,0
1,41404,63.9,3.392,NULL,NULL,0
1,41411,69.53,3.454,NULL,NULL,0
1,41418,77.19,3.494,NULL,NULL,0
1,41425,78.02,3.466,NULL,NULL,0
1,41432,76.44,3.439,NULL,NULL,0
1,41439,79.86,3.431,NULL,NULL,0
1,41446,81.35,3.479,NULL,NULL,0
1,41453,83.94,3.495,NULL,NULL,0
1,41460,79.85,3.422,NULL,NULL,0
1,41467,83.12,3.4,NULL,NULL,0
1,41474,79.26,3.556,NULL,NULL,0
1,41481,81.54,3.62,NULL,NULL,0
2,40214,40.19,2.572,210.7526053,8.324,0
2,40221,38.49,2.548,210.8979935,8.324,1
2,40228,39.69,2.514,210.9451605,8.324,0
2,40235,46.1,2.561,210.9759573,8.324,0
2,40242,47.17,2.625,211.0067542,8.324,0
2,40249,57.56,2.667,211.037551,8.324,0
2,40256,54.52,2.72,210.8733316,8.324,0
2,40263,51.26,2.732,210.6766095,8.324,0
2,40270,63.27,2.719,210.4798874,8.2,0
2,40277,65.41,2.77,210.2831653,8.2,0
2,40284,68.07,2.808,210.1495463,8.2,0
2,40291,65.11,2.795,210.1000648,8.2,0
2,40298,66.98,2.78,210.0505833,8.2,0
2,40305,71.28,2.835,210.0011018,8.2,0
2,40312,73.31,2.854,209.9984585,8.2,0
2,40319,74.83,2.826,210.2768443,8.2,0
2,40326,81.13,2.759,210.5552301,8.2,0
2,40333,81.81,2.705,210.833616,8.2,0
2,40340,83.4,2.668,211.1120018,8.2,0
2,40347,85.81,2.637,211.1096543,8.2,0
2,40354,86.26,2.653,210.9950134,8.2,0
2,40361,82.74,2.669,210.8803726,8.099,0
2,40368,82.59,2.642,210.7657317,8.099,0
2,40375,85.32,2.623,210.7577954,8.099,0
2,40382,87.66,2.608,210.8921319,8.099,0
2,40389,83.49,2.64,211.0264684,8.099,0
2,40396,89.53,2.627,211.1608049,8.099,0
2,40403,89.05,2.692,211.2951413,8.099,0
2,40410,88.7,2.664,211.2596586,8.099,0
2,40417,87.12,2.619,211.2241759,8.099,0
2,40424,81.83,2.577,211.1886931,8.099,0
2,40431,79.09,2.565,211.1532104,8.099,1
2,40438,82.05,2.582,211.1806415,8.099,0
2,40445,81.79,2.624,211.2552578,8.099,0
2,40452,69.24,2.603,211.3298742,8.163,0
2,40459,63.19,2.633,211.4044906,8.163,0
2,40466,65.8,2.72,211.4713286,8.163,0
2,40473,68.5,2.725,211.5187208,8.163,0
2,40480,66.24,2.716,211.5661131,8.163,0
2,40487,57.85,2.689,211.6135053,8.163,0
2,40494,59.69,2.728,211.6608975,8.163,0
2,40501,50.81,2.771,211.5470304,8.163,0
2,40508,62.98,2.735,211.4062867,8.163,1
2,40515,49.33,2.708,211.265543,8.163,0
2,40522,45.5,2.843,211.1247993,8.163,0
2,40529,47.55,2.869,211.0645458,8.163,0
2,40536,49.97,2.886,211.0646599,8.163,0
2,40543,47.3,2.943,211.064774,8.163,1
2,40550,44.69,2.976,211.0648881,8.028,0
2,40557,33.02,2.983,211.1176713,8.028,0
2,40564,41.4,3.016,211.4864691,8.028,0
2,40571,42.83,3.01,211.8552668,8.028,0
2,40578,38.25,2.989,212.2240646,8.028,0
2,40585,33.19,3.022,212.5928624,8.028,1
2,40592,57.83,3.045,212.9033115,8.028,0
2,40599,60.8,3.065,213.190421,8.028,0
2,40606,57.77,3.288,213.4775305,8.028,0
2,40613,52.7,3.459,213.7646401,8.028,0
2,40620,62.32,3.488,214.0156238,8.028,0
2,40627,69.42,3.473,214.2521573,8.028,0
2,40634,55.43,3.524,214.4886908,7.931,0
2,40641,67,3.622,214.7252242,7.931,0
2,40648,69.48,3.743,214.9420631,7.931,0
2,40655,69.39,3.807,215.1096657,7.931,0
2,40662,69.21,3.81,215.2772683,7.931,0
2,40669,61.48,3.906,215.4448709,7.931,0
2,40676,74.61,3.899,215.6124735,7.931,0
2,40683,67.14,3.907,215.3834778,7.931,0
2,40690,76.42,3.786,215.1544822,7.931,0
2,40697,83.07,3.699,214.9254865,7.931,0
2,40704,83.4,3.648,214.6964908,7.931,0
2,40711,86.53,3.637,214.6513538,7.931,0
2,40718,85.17,3.594,214.7441108,7.931,0
2,40725,85.69,3.524,214.8368678,7.852,0
2,40732,87.7,3.48,214.9296249,7.852,0
2,40739,89.83,3.575,215.0134426,7.852,0
2,40746,89.34,3.651,215.0749122,7.852,0
2,40753,90.07,3.682,215.1363819,7.852,0
2,40760,93.34,3.684,215.1978515,7.852,0
2,40767,91.58,3.638,215.2593211,7.852,0
2,40774,89.86,3.554,215.3229307,7.852,0
2,40781,90.45,3.523,215.386897,7.852,0
2,40788,89.64,3.533,215.4508632,7.852,0
2,40795,77.97,3.546,215.5148295,7.852,1
2,40802,78.85,3.526,215.6944378,7.852,0
2,40809,75.58,3.467,216.0282356,7.852,0
2,40816,78.14,3.355,216.3620333,7.852,0
2,40823,69.92,3.285,216.6958311,7.441,0
2,40830,71.67,3.274,217.0048261,7.441,0
2,40837,64.53,3.353,217.1650042,7.441,0
2,40844,65.87,3.372,217.3251824,7.441,0
2,40851,55.53,3.332,217.4853605,7.441,0
2,40858,59.33,3.297,217.6455387,7.441,0
2,40865,62.01,3.308,217.8670218,7.441,0
2,40872,56.36,3.236,218.1130269,7.441,1
2,40879,48.74,3.172,218.3590319,7.441,0
2,40886,41.76,3.158,218.605037,7.441,0
2,40893,50.13,3.159,218.8217928,7.441,0
2,40900,46.66,3.112,218.9995495,7.441,0
2,40907,44.57,3.129,219.1773063,7.441,1
2,40914,46.75,3.157,219.355063,7.057,0
2,40921,45.99,3.261,219.5328198,7.057,0
2,40928,51.7,3.268,219.6258417,7.057,0
2,40935,50.5,3.29,219.7188636,7.057,0
2,40942,55.21,3.36,219.8118854,7.057,0
2,40949,46.98,3.409,219.9049073,7.057,1
2,40956,43.82,3.51,220.0651993,7.057,0
2,40963,54.63,3.555,220.275944,7.057,0
2,40970,58.79,3.63,220.4866886,7.057,0
2,40977,57.11,3.669,220.6974332,7.057,0
2,40984,63.68,3.734,220.8498468,7.057,0
2,40991,64.01,3.787,220.9244858,7.057,0
2,40998,66.83,3.845,220.9991248,7.057,0
2,41005,68.43,3.891,221.0737638,6.891,0
2,41012,68.08,3.891,221.1484028,6.891,0
2,41019,65.69,3.877,221.2021074,6.891,0
2,41026,67.2,3.814,221.255812,6.891,0
2,41033,76.73,3.749,221.3095166,6.891,0
2,41040,73.87,3.688,221.3632212,6.891,0
2,41047,71.27,3.63,221.380331,6.891,0
2,41054,78.19,3.561,221.3828029,6.891,0
2,41061,78.38,3.501,221.3852748,6.891,0
2,41068,78.69,3.452,221.3877467,6.891,0
2,41075,80.56,3.393,221.4009901,6.891,0
2,41082,81.04,3.346,221.4411622,6.891,0
2,41089,86.32,3.286,221.4813343,6.891,0
2,41096,84.2,3.227,221.5215064,6.565,0
2,41103,80.17,3.256,221.5616784,6.565,0
2,41110,83.23,3.311,221.5701123,6.565,0
2,41117,86.37,3.407,221.5785461,6.565,0
2,41124,90.22,3.417,221.5869799,6.565,0
2,41131,88.55,3.494,221.5954138,6.565,0
2,41138,84.79,3.571,221.6751459,6.565,0
2,41145,76.91,3.62,221.8083518,6.565,0
2,41152,82.64,3.638,221.9415576,6.565,0
2,41159,87.65,3.73,222.0747635,6.565,1
2,41166,75.88,3.717,222.2174395,6.565,0
2,41173,71.09,3.721,222.4169362,6.565,0
2,41180,79.45,3.666,222.6164329,6.565,0
2,41187,70.27,3.617,222.8159296,6.17,0
2,41194,60.97,3.601,223.0154263,6.17,0
2,41201,68.08,3.594,223.0598077,6.17,0
2,41208,69.79,3.506,223.0783366,6.17,0
2,41215,56.4,3.386,223.0968655,6.17,0
2,41222,61.9,3.314,223.1153944,6.17,0
2,41229,52.72,3.252,223.1469028,6.17,0
2,41236,58.06,3.211,223.1957173,6.17,1
2,41243,52.64,3.207,223.2445318,6.17,0
2,41250,64.19,3.198,223.2933463,6.17,0
2,41257,47.69,3.168,223.3523969,6.17,0
2,41264,55.14,3.098,223.4728642,6.17,0
2,41271,41.56,3.108,223.5933316,6.17,1
2,41278,39.12,3.161,223.7137989,6.237,0
2,41285,47.42,3.243,223.8342663,6.237,0
2,41292,40.98,3.237,223.86882,6.237,0
2,41299,51.33,3.227,223.8690083,6.237,0
2,41306,54.75,3.244,223.8691966,6.237,0
2,41313,56.08,3.417,223.8693849,6.237,1
2,41320,48.92,3.475,223.9106714,6.237,0
2,41327,48.16,3.597,224.0547032,6.237,0
2,41334,46.08,3.711,224.198735,6.237,0
2,41341,51.12,3.658,224.3427668,6.237,0
2,41348,55.14,3.622,224.469439,6.237,0
2,41355,59.97,3.611,224.5527121,6.237,0
2,41362,50.54,3.606,224.6359852,6.237,0
2,41369,58.3,3.583,224.7192583,6.112,0
2,41376,61.23,3.529,224.8025314,6.112,0
2,41383,67.05,3.451,224.8025314,6.112,0
2,41390,58.13,3.417,224.8025314,6.112,0
2,41397,65.26,3.386,NULL,NULL,0
2,41404,63.51,3.392,NULL,NULL,0
2,41411,70.55,3.454,NULL,NULL,0
2,41418,76.83,3.494,NULL,NULL,0
2,41425,78.05,3.466,NULL,NULL,0
2,41432,76.2,3.439,NULL,NULL,0
2,41439,80.91,3.431,NULL,NULL,0
2,41446,81.11,3.479,NULL,NULL,0
2,41453,85.37,3.495,NULL,NULL,0
2,41460,79.48,3.422,NULL,NULL,0
2,41467,85.41,3.4,NULL,NULL,0
2,41474,79.16,3.556,NULL,NULL,0
2,41481,83.17,3.62,NULL,NULL,0
3,40214,45.71,2.572,214.4248812,7.368,0
3,40221,47.93,2.548,214.5747916,7.368,1
3,40228,47.07,2.514,214.6198868,7.368,0
3,40235,52.05,2.561,214.6475127,7.368,0
3,40242,53.04,2.625,214.6751386,7.368,0
3,40249,63.08,2.667,214.7027646,7.368,0
3,40256,60.42,2.72,214.5301219,7.368,0
3,40263,57.06,2.732,214.3241011,7.368,0
3,40270,65.56,2.719,214.1180803,7.343,0
3,40277,68,2.77,213.9120595,7.343,0
3,40284,66.98,2.808,213.7726889,7.343,0
3,40291,67.87,2.795,213.7221852,7.343,0
3,40298,70.24,2.78,213.6716815,7.343,0
3,40305,73.47,2.835,213.6211778,7.343,0
3,40312,77.18,2.854,213.6196139,7.343,0
3,40319,75.81,2.826,213.9116886,7.343,0
3,40326,78.6,2.759,214.2037634,7.343,0
3,40333,78.53,2.705,214.4958382,7.343,0
3,40340,82.1,2.668,214.787913,7.343,0
3,40347,83.52,2.637,214.7858259,7.343,0
3,40354,83.79,2.653,214.6660741,7.343,0
3,40361,82.2,2.669,214.5463222,7.346,0
3,40368,81.75,2.642,214.4265704,7.346,0
3,40375,84.32,2.623,214.4176476,7.346,0
3,40382,83.32,2.608,214.5564968,7.346,0
3,40389,82.04,2.64,214.695346,7.346,0
3,40396,85.13,2.627,214.8341952,7.346,0
3,40403,86.74,2.692,214.9730444,7.346,0
3,40410,88.02,2.664,214.9314191,7.346,0
3,40417,86.15,2.619,214.8897938,7.346,0
3,40424,84.16,2.577,214.8481685,7.346,0
3,40431,80.84,2.565,214.8065431,7.346,1
3,40438,82.36,2.582,214.8322484,7.346,0
3,40445,76.9,2.624,214.9084516,7.346,0
3,40452,73.6,2.603,214.9846548,7.564,0
3,40459,66.99,2.633,215.060858,7.564,0
3,40466,69.71,2.72,215.1293114,7.564,0
3,40473,71.64,2.725,215.17839,7.564,0
3,40480,72.04,2.716,215.2274686,7.564,0
3,40487,62.94,2.689,215.2765472,7.564,0
3,40494,62.79,2.728,215.3256258,7.564,0
3,40501,57.72,2.771,215.2074519,7.564,0
3,40508,68.71,2.735,215.0614025,7.564,1
3,40515,53.76,2.708,214.9153531,7.564,0
3,40522,51.13,2.843,214.7693037,7.564,0
3,40529,52.2,2.869,214.704919,7.564,0
3,40536,57.16,2.886,214.7017828,7.564,0
3,40543,53.2,2.943,214.6986466,7.564,1
3,40550,53.35,2.976,214.6955104,7.551,0
3,40557,44.76,2.983,214.7470729,7.551,0
3,40564,50.74,3.016,215.1268275,7.551,0
3,40571,48.71,3.01,215.5065821,7.551,0
3,40578,45.95,2.989,215.8863367,7.551,0
3,40585,43.57,3.022,216.2660913,7.551,1
3,40592,61.58,3.045,216.5843571,7.551,0
3,40599,67.4,3.065,216.8780275,7.551,0
3,40606,65.11,3.288,217.1716979,7.551,0
3,40613,61.29,3.459,217.4653683,7.551,0
3,40620,69.47,3.488,217.7235226,7.551,0
3,40627,72.94,3.473,217.9674705,7.551,0
3,40634,68.76,3.524,218.2114184,7.574,0
3,40641,72.55,3.622,218.4553663,7.574,0
3,40648,75.88,3.743,218.6788642,7.574,0
3,40655,76.91,3.807,218.851237,7.574,0
3,40662,78.69,3.81,219.0236099,7.574,0
3,40669,69.45,3.906,219.1959827,7.574,0
3,40676,79.87,3.899,219.3683556,7.574,0
3,40683,75.79,3.907,219.127216,7.574,0
3,40690,84.41,3.786,218.8860765,7.574,0
3,40697,84.29,3.699,218.6449369,7.574,0
3,40704,84.84,3.648,218.4037974,7.574,0
3,40711,86.96,3.637,218.3551748,7.574,0
3,40718,84.94,3.594,218.45094,7.574,0
3,40725,85.1,3.524,218.5467052,7.567,0
3,40732,85.38,3.48,218.6424704,7.567,0
3,40739,87.14,3.575,218.7275216,7.567,0
3,40746,86.19,3.651,218.7857881,7.567,0
3,40753,88.07,3.682,218.8440545,7.567,0
3,40760,88.45,3.684,218.9023209,7.567,0
3,40767,88.88,3.638,218.9605873,7.567,0
3,40774,88.44,3.554,219.023271,7.567,0
3,40781,87.67,3.523,219.0866908,7.567,0
3,40788,89.12,3.533,219.1501106,7.567,0
